owner_id,owned_id,share
C027080,C031046,0.8500
P007160,C018872,0.2362
C009524,C026638,0.1468
C91000628,C91000629,1.0000
P012937,C004826,0.5894
C016021,C007619,0.2628
P014332,C019804,0.6013
C016505,C029048,0.8500
P008348,C014519,0.2338
C000579,C021694,0.5000
P000322,C014605,0.1786
C033533,C000123,0.1904
C022408,C017997,0.2389
P010393,C026248,0.4510
C002992,C008415,0.3093
P012803,C030999 ,0.2857
P010972,C026323,0.3485
P007681,C013010,0.2307
P011937,C021752,0.7000
C026533,C020314,0.7000
P009980,C031073,0.3933
P009468,C029684,0.2144
P010037,C021746,0.0202
C020437,C032055,0.7000
P006447,C030053,0.7000
P002855,C012289,0.1490
C004582,C030460,0.5000
C010138,C022607,0.2331
P001557,C021943,0.5387
P011397,C025573,0.3498
P013716,C004435,1.1500
P007469,C006899,0.1797
P001411,C002220,0.4673
C027647,C026995,0.2571
P012854,C000353,0.1717
C024483,C028918,0.2993
P008391,C030123,1.0000
P007518,C016803,1.1500
C019943,C027104,0.3000
P011509,C027406,0.3484
P002748,C017232,0.3450
C026333,C017287,0.5000
C91000138,C91000139,1.0000
P013379,C029186,0.6272
C025285,C025086,0.7000
P004774,C002079,0.0933
P009294,C028118,0.1620
P001413,C010227,0.7000
P001454,C030661,0.7007
C020999,C029286,0.8500
P002829,C006283,0.3000
C013227,C021602,0.2954
P008945,C004492,0.5591
 P006626,C020934,0.1915
P006785,C021297,0.3450
P005035,C031344,0.3152
P006119,C019457,0.3424
P003359,C023245,0.2709
P007388,C025746,0.3531
P014507,C007131,0.4539
C008738,C013837,0.7000
P003994,C000895,0.7560
C009917,C023480,0.5000
P010258,C033598,0.1416
P000375,C011235,0.3266
P008336,C001484,0.3450
P002478,C013185,0.0337
P003541,C002061,0.6760
P006112,C026411,0.5120
C033097,C031947,0.1494
C91001380,C91001381,1.0000
C019445,C018484,0.7000
P013422,C015783,0.1918
P001476,C008400,0.3211
P000327,C018839,0.3000
P013071,C030502,0.3976
P001897,C032080,0.2131
P009183,C022888,0.5750
P009969,C034561,0.5831
P013522,C006456,0.4943
C013065,C022463,0.2028
P013448,C027271,0.7500
P002432,C010145,0.0496
C027247,C016644,0.3000
C010168,C012571,0.2967
P012614,C021420,0.4046
P013206,C033266,0.0881
P002061,C023892,0.2250
P010939,C027033,0.1598
P000704,C030076,0.2250
P004621,C022880,0.2250
P001543,C019371,0.0984
C014579,C002993,0.1900
P010474,C019912,0.2250
P013087,C021319,1.0800
P013971,C030087,0.5000
C034879,C031339,0.5160
C021176,C030721,0.3065
C031574,C007657,0.1777
P013711,C021091,0.0638
P003239,C014874,0.2354
C029933,C004051,0.2146
P011900,C007707,0.2083
C001246,C031446,0.2873
C020734,C012904,0.3000
C022485,C018596,0.8500
P010268,C026819,0.3310
P008625,C000335,0.7000
C032213,C014839,0.3000
P001871,C013210,0.0836
C024915,C030176,0.5000
C016881,C028948,0.5000
P007617,C027907,0.0557
C002313,C029617,0.1934
P005044,C011203,0.5902
C032919,C033162,0.6310
C018605,C029043,0.3727
P008639,C028930,0.1654
P002623,C025355,0.0261
P012304,C016240,0.8050
P012054,C018507,1.0000
C008954,C008589,0.1891
 P004933,C012348,0.5750
P003093,C034013,0.0889
P014198,C006980,0.2790
C017305,C025181,0.8500
C000882,C025465,0.1863
P006548,C029821,0.4350
C012086,C031836,0.3893
P000945,C010900,0.7066
P002428,C005172,0.6510
C034612,C015126,0.5478
C021410,C011091,0.8500
C029342,C020873,0.8500
P004560,C002564,0.0306
C034388,C005814,0.2085
P013290,C030314,1.0000
P000972,C032681,0.3450
C003217,C027014,0.7000
C026939,C022515,0.3937
C027730,C006817,0.5573
P004999,C012662,0.1500
C014173,C025331,0.4422
P005623,C015495,0.1353
P002185,C007962,0.2551
P001906,C013844,0.5000
P006183,C008027,0.4650
C022749,C016509,0.7000
P010602,C002107,0.1865
C020513,C029974,0.2273
C013891,C018581,0.1760
P014291,C004298,0.2126
P007260,C008767,0.1201
P006294,C017178,0.4366
C029702,C000028,0.3296
P007041,C006215,0.7000
P008513,C031264,0.0768
P001920,C004913,0.5400
C033885,C032295,0.5000
P008803,C019154,0.1752
P009724,C029794,0.1305
P013808,C018417,0.6072
C001201,C019572,0.3000
P001833,C008474,0.1158
P009086,C014802,0.2790
P012806,C021916,0.0750
C030094,C004262,0.8500
P009695,C021264,0.7000
C024512,C001226 ,0.4528
P010309,C026988,0.2146
C025167,C032235,0.7000
C020872,C026357,0.3000
P010984,C024766,0.1602
P000668,C010089,0.2790
C015907,C017073,0.5754
C009799,C003091,0.3713
C008161,C031364,0.3235
P001440,C021574,0.5750
C023967,C005331,0.2694
C014409,C012245,0.7000
P004145,C002937,0.1633
C91000321,C91000322,1.0000
P013363,C000373,0.4567
P010978,C011873,0.4106
P004904,C019683,0.1410
P008089,C021486,0.0687
P008166,C025276,0.1770
P013022,C004805,0.2413
P004358,C013231,0.0991
C004349,C016593,0.3000
P006184,C012434,0.1432
P009600,C009704,0.3000
P000093,C009004,1.0800
C010957,C003613,0.4045
P005381,C025047,1.1500
C007349,C005608,0.7000
P007176,C011828,0.1500
P008554,C013044,0.3542
C013715,C030313,0.7000
P010767,C015694,0.1500
P010983,C010169,0.2983
P010572,C005052,0.2923
P001681,C016564,0.4589
C025253,C020691,0.8500
C022142,C028633,0.1913
P010421,C033290,0.1500
C013629,C014890,0.3896
C029952,C010795,0.7000
P014490,C012361,0.2250
C028757,C016185,0.7000
C015729,C026962,0.8500
C008084,C008455,0.2484
C030318,C014402,0.3000
C005622,C033565,0.3000
C030037,C020495,0.8500
P011234,C024384,0.7560
P004743,C031725,0.8700
C91000003,C91000004,1.0000
P000919,C018338,0.4650
P010717,C019909,0.1395
C019304,C027283,0.1987
C032738,C014689,0.3000
P008393,C022419,0.3430
C002263,C005136,0.1103
P002377,C006288,0.4731
P013535,C034145,1.0000
P006709,C021735,0.0441
C004530,C012650,0.3000
C034285,C014088,0.7000
P006956,C015459,1.0000
P011310,C004339,0.2589
C024768,C033992,0.2762
C004224,C000648,0.1596
C000520,C010458,0.1859
P013718,C007498,0.4350
C001203,C004583,0.5070
P014937,C019973,0.1217
P010097,C016654,0.2644
P005647,C029027,0.2717
P008614,C009763,0.0719
P012546,C018208,0.2435
P010936,C017494,0.6090
P001526,C032558,0.0983
P006463,C014355,0.2250
C022640,C007929,0.3000
P011742,C030027,0.0778
P010116,C021735,0.1771
P000023,C020776,1.0000
P004285,C005658,1.0000
P006832,C025784,0.3624
P003020,C011478,0.2599
P009375,C011842,0.3911
P009237,C031588,0.2971
P002084,C003129,0.3928
C025943,C028127,0.5000
C033715,C034104,0.8500
C027875,C027708,0.1849
C025218,C018171,0.1381
P012096,C030385,0.3125
C018527,C013285,0.1522
P011273,C011228,0.0532
P007410,C003928,0.4350
P006899,C018693,0.5250
C017778,C003022,0.3000
C017552,C033204,0.2293
C024344,C029256,0.5000
C005680,C020006,0.7000
C027426,C008797,0.7000
P011847,C027545,0.2551
C024973,C016847,0.4039
P000873,C003200,0.1939
P002851,C003483,1.0000
P012959,C001183,0.4458
C025577,C002184,0.5000
P010319,C027658,0.3195
C019296,C034220,0.5000
P013741,C026086,0.5400
C015666,C024269,0.2033
P010630,C008105,0.0423
P011466,C029562,0.3240
P002479,C033690,0.4650
P010076,C020084,0.3000
 P002748,C011207,0.1582
P011595,C029714,0.1421
P014110,C018187,0.3450
P007145,C009033,0.9300
P009688,C024075,0.4928
P007280,C030978,0.5000
P003936,C007260,0.4350
C91001402,C91001403,1.0000
C025902,C019707,0.3000
P012661,C019011,0.1620
P000616,C028224,0.7500
C013163,C017981,0.3506
C000034,C024237,0.7000
C000997,C010176,0.1794
C015715,C003322,0.8500
P013109,C031446,0.5000
P005632,C008101,0.4350
P001908,C019366,0.4147
C012601,C016652,0.1858
P003207,C032007,0.1125
P010047,C020015,0.1124
P014740,C010002,0.4532
P000779,C010333,0.1125
C009953,C016841,0.4773
C91000989,C91000990,1.0000
P012171,C032567,0.0977
C000413,C028928,0.8500
P000858,C014203,0.1620
C011766,C011754,0.4345
P000294,C033826,0.4650
P007758,C009154,0.6569
C034282,C011708,0.7000
P008156,C025702,0.1395
C029308,C022658,0.5397
P006226,C017073,0.1620
P006218,C021577,0.1725
C016015,C024517,0.5000
P005758,C011953,0.4445
P010435,C022868,0.2983
C019131,C005671,0.1812
P009050,C003289,0.8700
P012218,C030914,0.3387
P003522,C002230,1.1500
P005759,C005338,0.2497
P002086,C001648,0.1049
P011502,C009641,0.2599
P011804,C026049,0.2112
P010738,C032665,0.2983
P013946,C028575,0.3240
P001582,C031104,0.2173
P012084,C032291,0.1099
C016560,C001014,0.7000
P005451,C004436,0.0836
C014624,C013075,0.8500
P011713,C016879,0.2157
P010465,C022456,0.3937
C022672,C010418,0.5567
P013495,C017188,0.1984
P002911,C034121,0.1772
C000339,C034941,0.7000
P009168,C026109,0.4275
P011548,C001990,1.0000
P002557,C002973,0.0461
P008291,C030884,0.1035
C030287,C034548,0.6221
C91000186,C91000187,1.0000
C033222,C021775 ,0.3000
P004405,C033470,0.0994
C025459,C017622,0.5000
C007889,C010765,0.7000
P003162,C027332,0.8700
P001129,C034516,0.2016
P012888,C020517,1.0000
C028278,C025822,0.5756
P008998,C033573,0.5000
P008094,C013825,0.0552
C006701,C012860,0.5000
P008364,C008563,0.3263
P012473,C009408,0.7000
P014759,C008236,0.4734
P002213,C016854,0.1500
P008811,C031417,0.3291
C012806,C008529,0.1556
P011490,C003336,0.4028
P007683,C006585,0.2825
P003848,C016185,0.3240
C008182,C034585,0.2956
C032284,C008093,0.7000
C028269,C005869,0.4528
P001564,C013364,0.0782
P000723,C029559,0.4350
P005741,C021179,0.5400
C022673,C013157,0.5000
C034717,C016994,0.2288
P014146,C018291,0.2129
C024666,C031216,0.0000
P007690,C018803,0.0342
P001118,C013197,0.4721
C003429,C030098,0.1973
P012637,C000462,0.2610
P001341,C025758,0.5000
P011894,C007020,0.3240
C034989,C012867,0.1354
C91001819,C91001820,1.0000
P008288,C034114,0.1981
P014987,C024159,0.5000
P000291,C017039,0.4650
P003691,C016553,0.7000
P005384,C022311,0.1502
P000083,C013829,0.3744
C009637,C010562,0.7000
P001678,C027125,0.6350
P011560,C000864,0.1939
C021298,C011819,0.4999
C021743,C007925,0.8500
P008489,C027134,0.2051
P014704,C019831,0.3750
C013558,C026173,0.3834
P000051,C002077,0.0847
C031566,C019940,0.3000
P008850,C034144,0.6090
C011570,C003011,0.5000
C007808,C025831,0.1582
P008174,C011574,0.0904
C023045,C023897,0.2618
C000254,C027917,0.6633
C013106,C016612,0.3000
C022124,C024035,0.3960
C018046,C006942,0.1954
P006488,C011944,0.2182
C009012,C027060,0.3187
P010152,C010995,0.3179
P011571,C033307,0.4650
C034654,C012853 ,0.8500
P010886,C016827,0.2790
P001273,C018314,0.1500
C004285,C010263,0.1220
P004654,C015270,0.7560
P009447,C018691,0.3952
C007783,C025322,0.3150
C016485,C024139,0.0938
C005690,C018823,0.4767
P012579,C005462,0.1701
P011682,C004943,0.1500
P014131,C008103,0.0900
P006629,C009527,0.2656
P003034,C013765,0.0460
P008209,C013796,0.3756
P013447,C001848,0.6992
C019209,C028955,0.1583
P011354,C005612,0.4318
P004631,C032167,0.9300
C022241,C034650,0.3602
C002973,C033960,0.3000
P004392,C008927,0.1305
P011978,C022414,0.0604
P003728,C020233,0.0931
C025568,C025703,0.3394
C91000110,C91000111,1.0000
P003331,C029892,1.1500
C91000793,C91000794,1.0000
C015485,C008668,0.1929
P005368,C033212,0.0397
P014328,C028509,0.1669
P003183,C021765,0.6510
P014357,C023522,0.7500
C026290,C006869,0.1337
P006386,C016969,0.5258
P008884,C030650,0.9300
P002931,C012991,0.6090
P008619,C029814,0.1928
C029216,C011365,0.5000
C018313,C026012,0.5000
P005633,C008908,0.4153
P007670,C034646,0.3510
P008275,C016692,0.0904
P014939,C008490,0.1258
P007827,C028836,0.0288
P005957,C004393,0.6090
P014061,C006584,1.0000
P001594,C009476,1.1500
P006625,C000637,0.5263
P014650,C027297,0.1125
P001467,C018727,0.1073
C024318,C020174,0.3000
P012426,C019354,0.3578
P004447,C029361,0.1331
P012148,C024158,1.0000
P014043,C027413 ,0.4350
C027625,C017419,0.1044
P006300,C015851,0.1044
C034855,C030468,0.5000
P007246,C030664,0.0083
C010600,C013701,0.2750
P009862,C028837,0.9000
P001184,C000070,0.1500
P007128,C034048,0.1620
P006621,C026856,0.0578
P001741,C012409,1.0000
P003873,C004791,0.0710
P006547,C004329,0.5750
C014851,C007026,0.3000
P002387,C004705,0.7000
P005097,C026793,0.1336
C033743,C012098,0.2688
P006385,C007726,0.0918
P010533,C022761,0.0416
P002380,C034254,0.1043
P011301,C022580,0.6344
P007585,C023823,0.4083
P011325,C024576,0.5250
P014348,C031903,1.0000
C006452,C003951,0.2477
P007766,C013229,1.0000
P013394,C016313,0.5400
P000665,C022186,0.4350
C013941,C020686,0.3441
P013004,C024612,1.0000
P003092,C017195,0.0896
P011539,C033618,0.1649
C034483,C015830,0.3157
P006841,C002873,0.6680
C023183,C026191,0.2657
P003180,C005633,0.1898
P007140,C024679,0.0223
P011861,C017044,0.1395
C000365,C006358,0.2366
C021026,C024254,0.3000
C026775,C020116,0.6405
C026071,C007742,0.4857
P009664,C011969,0.7000
C020315,C030483,0.7000
C91001588,C91001589,1.0000
P013205,C017272,0.3240
P009081,C002995,0.1628
P008613,C012746,0.0983
P002890,C030741,0.2150
P007956,C015554,0.1852
C024153,C000927,0.1901
P002565,C019068,0.3000
C016913,C020001,0.8500
P000970,C008341,0.1305
P005642,C010593,0.1476
P001752,C030284,0.2781
P005787,C011635,0.2515
P006984,C022376,1.0000
P009776,C003618,0.1024
P009966,C014906,0.6469
C011200,C022203,0.8500
P005408,C019973,0.1033
C011719,C032352,0.5000
P007879,C030489,0.0804
C011364,C013607,0.8500
P006110,C004986,0.1620
C91001607,C91001608,1.0000
P007685,C015591,0.7000
P003996,C015058,0.2610
P001302,C001459,1.0800
C029549,C029745,0.7000
P011970,C007552,0.0469
C025335,C018402,0.7000
P001249,C023798,0.1500
P001292,C022230,0.5319
P001345,C024353,0.0888
P003692,C003228,0.4223
C000755,C000382,0.7000
P009669,C034165,0.5250
P001895,C026444,0.4236
P008803,C011107,0.1835
P010761,C027401,0.0675
P001174,C006819,0.7500
P009513,C026239,0.1968
C91000818,C91000819,1.0000
P004292,C019216,0.1500
P013104,C016642,0.0476
C017650,C023988,0.1436
P007454,C009888,0.9300
P011582,C019782 ,0.6096
P006571,C008934,0.1725
C000141,C008106,0.8500
P000341,C002263,0.3838
P003270,C032136,0.0259
C019030,C026689,0.2349
P010994,C005403,0.0788
P002028,C026702,0.6090
C91000366,C91000367,1.0000
C027370,C018802,0.2802
P005894,C021080,0.0279
C030324,C006446,0.3762
P013313,C022816,0.6722
C004183,C003901,0.4775
P000261,C009991,0.2590
P012387,C018128,0.1848
P002723,C021711,0.3450
C032822,C012268,0.3000
C025028,C004517,0.5000
P012062,C021914,0.7560
P012469,C010584,1.1500
C030343,C017012,0.4559
P014076,C022092,0.1620
P008746,C024294,0.0525
C000154,C001827,0.1981
C002555,C018079,0.8500
P002130,C028066,0.3824
P013503,C028132,0.6090
P006475,C011901,1.1500
C028438,C029634,0.7000
C004727,C008887,0.5000
P012506,C002065,0.4633
P007527,C031763,0.3416
P000214,C023358,1.0000
P002147,C028853,0.6510
C034375,C002058,0.3000
P001589,C017685,0.0854
P011532,C026371,0.4183
P012438,C025820,0.2696
P001485,C005707,0.6322
C031310,C033014,0.1232
P000744,C013485,0.1623
P007171,C031613,0.1578
P007968,C009264,0.6090
C009539,C000316,0.4051
P013652,C004294,0.4017
C017573,C003257,0.3820
P009226,C006262,0.1380
P005851,C019606,0.5306
P003609,C017705,0.3364
P013768,C019868,0.0894
C031269,C015483,0.5756
P012528,C011562,0.2879
C026698,C014281,0.3748
P002506,C028046,0.5488
C026172,C019877,0.4592
P007642,C016180,0.6266
P011374,C002679,0.9300
C027924,C017065,0.5000
C005433,C025649,0.5000
P013353,C023891,0.0351
C034834,C005834,0.8500
C005922,C008450,0.4013
P007889,C018294,0.3438
C002127,C032767,0.8500
C025938,C034072,0.7000
C022581,C003113,0.8500
C018707,C017496,0.8500
P003660,C023646,0.5082
C020485,C017148,0.7000
P006699,C032032,0.4476
P008669,C007600,0.1102
C029727,C024450,0.0760
C003780,C021080,0.7000
C026646,C007425,0.4528
P006790,C031381,0.2294
P002514,C026099,0.2377
P000562,C032055,0.2610
P002594,C002539,0.1656
C007602,C013782,0.7000
C000104,C022516,0.1559
P005483,C015083,0.0743
C032344,C027580,0.2483
C033979,C001038,0.8500
P009259,C025273,0.4243
C021533,C023201,0.3000
P001509,C023816,0.3000
P013864,C004206,0.1305
P007730,C002617,0.6699
C016769,C033793,0.3822
P000493,C007508,0.1500
P007861,C015366,0.1500
C028677,C009762,0.7000
P013082,C027346,0.3295
P008067,C004667,0.2994
P000633,C018678,0.1702
P011265,C028772,0.3000
P013872,C004549,0.7437
C034005,C009553,0.5000
P001608,C007662,0.4637
P011105,C002801,0.6699
P014872,C008775,0.2376
P001137,C014008,0.7000
P007780,C016773,0.5236
C003093,C024684,0.3000
P008881,C002899,0.2250
P007486,C028704,0.2841
P012954,C009280,0.1500
C004861,C030878,0.2272
P002091,C011871,0.0547
P011570,C016227,0.7000
P012645,C030216,0.2572
C003432,C021325,0.5000
P014918,C032436,1.0800
P011713,C008311,0.0988
P013938,C000248,0.0504
C016432,C012479,0.5000
P014453,C025676,0.1500
P014553,C000290,0.0476
P008297,C005509,1.0000
C027037,C017399,0.1772
P008657,C008236,0.1851
P014096,C008109,0.1500
P007154,C032203,0.4773
C019759,C003103,0.3949
P005624,C005390,0.7000
P012643,C002106,0.5000
P014415,C017903,0.1846
P012450,C031964,0.1062
P002436,C025502,0.0634
P001719,C009168,0.0418
C027813,C010540,0.3338
C000062,C008649,0.8500
C91000674,C91000675,1.0000
P000355,C009552,0.1620
C011344,C002787,0.8500
P004830,C010566,0.0204
P014410,C001952,0.4585
P013089,C019772,0.3342
P007031,C030535,0.4393
P004244,C023676,0.1968
C002776,C026219,0.5000
P012580,C034720,0.2790
P011809,C027393,0.5639
C014026,C026205,0.1608
P001266,C016153,0.0948
P005023,C024170,0.0438
P005999,C033320,0.2526
C009509,C000292,0.5000
P002953,C006112,0.3425
P005642,C030980,0.2790
P011455,C030291,0.1275
C024461,C019675,0.3000
P004803,C011197,0.8700
P009779,C001456,0.3000
C029899,C007426,0.8500
P006302,C029213,0.2263
P004516,C018530,0.0768
P012644,C000117,0.7560
P001173,C032458,0.3041
C020680,C020535,0.5000
P002639,C003651,0.6510
C003521,C017585,0.2264
C008399,C020028,0.8500
P007951,C033974,0.8050
P009233,C001855,0.1432
P001278,C020680,0.3137
C91001271,C91001272,1.0000
P005721,C018439,0.1346
C91001802,C91001803,1.0000
P001558,C001264,1.0800
C020924,C009783,0.4090
P004158,C023660,0.5400
 P007255,C005089,0.5000
P005997,C026655,0.7000
P006371,C026139,0.3000
C019046,C033005,0.1161
C027212,C023897,0.4382
P008437,C026189,0.2045
P006690,C031775,0.1977
P007584,C000842,0.4184
P005738,C006921,0.2036
P009794,C004366,0.1770
 P005299,C030632,0.1305
C012484,C007508,0.3896
P009463,C006726,0.0281
P005902,C000766,0.4653
C019146,C028291,0.3000
P001949,C003068,0.2250
C011312,C018125,0.7000
C033664,C013071,0.5000
P009225,C018199,1.0000
P003441,C005521,0.1336
P006874,C004229,0.5171
P005828,C006851,0.0574
P009297,C009583,0.0590
P010614,C028510,0.6079
C028861,C003106,0.3358
C026039,C025557,0.1679
P001711,C029041,0.6510
P010432,C031311,0.3450
P004740,C015012,0.1222
C034582,C028684,0.3109
P003825,C033267,0.1500
P006017,C017983,0.4024
C000362,C016018,0.7000
P006387,C027081,0.5400
P011208,C017589,0.5000
P006937,C008773,0.4952
P008900,C001054,0.1395
C017492,C019250,0.8500
C91000895,C91000896,1.0000
P009997,C020203,0.1792
C022339,C006105,0.3000
C029976,C002291,0.2685
P001292,C011374,0.2124
P000094,C004202,0.4996
C004549,C026112,0.3000
P002602,C022074,0.4949
P010429,C009823,0.0750
P010654,C009114,1.1500
P009261,C033460,0.5400
P007634,C026379,0.5753
 C012006,C031166,0.5783
P003652,C024409,0.4350
P004799,C018926,0.3976
C008780,C029173,0.8500
P002513,C024328,0.1818
C033489,C017652,0.8500
P007474,C003720,0.2790
C019025,C020054,0.2515
 P013257,C003202,0.1307
P010841,C031864,0.2370
C022580,C017387,0.2383
P000818,C014713,0.2250
C023091,C006696,0.2738
C000587,C008700,0.7000
P011020,C021633,0.9300
C012703,C012208,0.3000
P003111,C024132,0.1494
C011002,C026407,0.4189
P009108,C001961,0.0716
C004498,C021100,0.2315
P012283,C022049,0.0432
C023036,C014706,0.8500
C027854,C002864,0.1377
P002875,C033049,0.1500
P003367,C034197,0.0278
P010474,C016593,0.6510
C022441,C028888,0.5000
C027690,C014321,0.3072
P009186,C012943,0.3585
C017211,C015570,0.5000
P012882,C011550,0.4349
C021834,C022823,0.3412
C011867,C022068,0.3000
P000689,C020087,0.1725
C024287,C005294,0.3000
P006878,C016916,0.6510
P009054,C016848,0.2594
C023652,C033179,0.8500
P001744,C033151,0.2643
C018417,C001879,0.3000
C032873,C000831,0.5354
P010761,C000845,0.9300
C003234,C021375,0.3000
P007787,C019271,0.4232
C032277,C031824,0.3000
P000662,C032143,0.1793
P014353,C028324,0.1656
C004797,C007995,0.7000
P001408,C007595,0.0541
P001506,C020884,1.1500
C029655,C011258,0.8500
P013846,C016074,0.1869
P012901,C017350,0.0858
C007946,C020427,0.3000
P000157,C003582,0.0399
P000613,C033791,0.2893
C014403,C000108,0.2385
P010066,C004095,0.9300
C024450,C002513,0.5000
C028134,C022753,0.5433
P006458,C021208,0.1500
P013423,C005245,0.2544
P006628,C019659,0.1125
C030210,C009519,0.1546
P007519,C023905,0.3450
P012908,C015208,0.5250
P013311,C015999,0.0369
P007363,C026224,0.0626
P005886,C002646,0.1500
P014723,C017155,0.0844
P014189,C022990,0.0325
P001066,C014942,0.7500
C91000959,C91000960,1.0000
P007354,C008644,0.2408
P002605,C013345,0.6168
C025228,C007160,0.2241
P013900,C020615,0.1529
C000395,C011575,0.7000
C024808,C000631,0.4263
C007666,C016900,0.7000
P002415,C019813,0.6090
P008939,C021890,0.5703
P009051,C007135,0.3450
P005258,C015265,0.7000
P003707,C016983,0.8700
P011536,C014887,0.1395
C007311,C001683,0.5000
P004411,C003182,0.5400
P014578,C008674,0.1500
P011492,C023447,0.1026
C033864,C022144,0.7000
P009938,C015422,0.0504
C023052,C007218,0.1281
P012817,C015084,0.6510
C91000483,C91000484,1.0000
P000746,C003375,0.8050
C018323,C028625,0.3000
C017878,C017885,0.3000
P006571,C020411,0.1500
P012955,C033702,0.3732
P006280,C000159,0.2343
P001597,C031894,0.3308
